,_lambda,mu_tlof,mu_charge,total_charge_rate,rho,num_parks,p_blocking,effective_lambda,eff_surface_rho,airspace_capacity,Lq,var_Lq,num_tlof
179,1,60,10,40,0.025,4,-5.4094912143448637e-17,1.0,0.025,100,0.0169500660847895,0.0172374280087495,1
180,1,60,10,50,0.02,5,-6.656323712703194e-17,1.0,0.02,100,0.0169491828498369,0.0172364589734194,1
181,1,60,10,60,0.0166666666666666,6,-1.4853569763051408e-17,1.0,0.0166666666666666,100,0.0169491534834136,0.0172364273267661,1
182,1,60,10,70,0.0142857142857142,7,-1.935029827343504e-16,1.0000000000000002,0.0142857142857142,100,0.0169491525697027,0.0172364263263509,1
183,1,60,10,80,0.0125,8,-4.5306098282738017e-17,1.0,0.0125,100,0.016949152543641,0.0172364263281824,1
184,1,90,10,10,0.1,1,-4.1687573532067645e-16,1.0000000000000004,0.1,100,0.0267229254635626,0.0305625288821519,1
185,1,90,10,20,0.05,2,1.3248950547772864e-16,1.0,0.0499999999999999,100,0.0117341966043822,0.0119270461981747,1
186,1,90,10,30,0.0333333333333333,3,6.323609171021705e-17,1.0,0.0333333333333333,100,0.0112523548705597,0.0113802026759996,1
187,1,90,10,40,0.025,4,5.80861313909109e-17,1.0,0.0249999999999999,100,0.0112364494131497,0.0113627360409612,1
188,1,90,10,50,0.02,5,-8.370040771588093e-17,1.0,0.02,100,0.0112359686625855,0.0113622161755002,1
189,1,90,10,60,0.0166666666666666,6,1.4788771742586457e-17,1.0,0.0166666666666666,100,0.0112359554059302,0.0113622023424202,1
190,1,90,10,70,0.0142857142857142,7,-1.6908471693090343e-16,1.0000000000000002,0.0142857142857142,100,0.0112359550682224,0.0113622019677869,1
191,1,90,10,80,0.0125,8,-3.3007179888605576e-17,1.0,0.0125,100,0.0112359550612939,0.0113622020494797,1
192,1,120,10,10,0.1,1,-1.292368989602721e-16,1.0000000000000002,0.1,100,0.0227201257648313,0.0261149974253009,1
193,1,120,10,20,0.05,2,4.477754972365134e-17,1.0,0.05,100,0.0088298931398945,0.0089542464805933,1
194,1,120,10,30,0.0333333333333333,3,-6.8033686323465396e-18,1.0,0.0333333333333333,100,0.0084162025878879,0.0084879735993428,1
195,1,120,10,40,0.025,4,-1.3650782977950304e-16,1.0000000000000002,0.025,100,0.0084037116911369,0.0084743542725036,1
196,1,120,10,50,0.02,5,9.825582188149884e-19,1.0,0.02,100,0.0084033699952033,0.0084739873959895,1
197,1,120,10,60,0.0166666666666666,6,1.4976982463466362e-16,1.0,0.0166666666666666,100,0.0084033615476087,0.0084739785087549,1
198,1,120,10,70,0.0142857142857142,7,-1.0347354483658532e-16,1.0,0.0142857142857142,100,0.0084033613427717,0.0084739775223073,1
199,1,120,10,80,0.0125,8,-3.961454509695747e-16,1.0000000000000004,0.0125,100,0.0084033613464389,0.0084739779165438,1
200,1,30,12,12,0.0833333333333333,1,1.715207836872068e-16,0.9999999999999998,0.0833333333333333,100,0.0552287581681352,0.0620153572327672,1
201,1,30,12,24,0.0416666666666666,2,8.890457814381135e-17,1.0,0.0416666666666666,100,0.0354752100952507,0.0368463194824952,1
202,1,30,12,36,0.0277777777777777,3,8.565197162635485e-18,1.0,0.0277777777777777,100,0.0345338124020356,0.0357307517463489,1
203,1,30,12,48,0.0208333333333333,4,1.5612511283791264e-16,1.0,0.0208333333333333,100,0.0344852823366874,0.035674697152928,1
